full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
TaliaMi/Atividade-4e,False,True,False,False,False,False,False,False
TanguyPatte/learn_conftest,True,False,False,False,False,False,False,False
TangxinGH/YARP,False,True,False,False,False,False,False,False
Tarandeep5/Angular_SuperHeroes,False,True,False,False,False,False,False,False
TarcisioOliveira2021/.NETProject,False,True,False,False,False,False,False,False
Tarunkcode/.net-mvc.crud,False,True,False,False,False,False,False,False
Taulant74/Lab,False,True,False,False,False,False,False,False
Tavo826/ASP-NET-Clean-Architecture-y-DDD,False,True,False,False,False,False,False,False
Tayyab94/2connectionSting_AspnetCore,False,True,False,False,False,False,False,False
Tayyab94/GraphQL_Net6_Codemaze,False,True,False,False,False,False,False,False
Tayyab94/Practice_Mysql_AspnetCore,False,True,False,False,False,False,False,False
Tayyab94/Serilog_AspnetCore6,False,True,False,False,False,False,False,False
Tbossun/SportsStore,False,True,False,False,False,False,False,False
Team-ApplicationWeb-Music4All/Back-end-Music4All,False,True,False,False,False,False,False,False
TehilaShaulzon/.net-core-project-Tasks,False,True,False,False,False,False,False,False
Tejasp2003/vraj-ai-article-summarizer,False,True,False,False,False,False,False,False
TekhneDev/exo-web-api,False,True,False,False,False,False,False,False
TeoDimitrov88/TRBabyShop,False,True,False,False,False,False,False,False
TepChoulong/TopGameReview,False,True,False,False,False,False,False,False
TerrOFGod/hw-net,False,True,False,False,False,False,False,False
ThalesGroup/dke-service-setup,True,False,False,False,False,False,False,False
Thamyresarm/dio-bootcamp-Pottencial-dotNet,False,True,False,False,False,False,False,False
ThanhTung2203/DoAnTotNghiep,False,True,False,False,False,False,False,False
ThatCreepyGuyInTheCorner/SWE3643_Project,False,True,False,False,False,False,False,False
TheCloudOfOz/Azure,False,True,False,False,False,False,False,False
TheDarthMole/upswake,True,False,False,False,False,False,False,False
TheRealHaoLiu/example-opa-policy-for-aap,True,False,False,False,False,False,False,False
Thegitway/dotnet-web-api,False,True,False,False,False,False,False,False
ThenjiweN/Team-9-NatuurlikRepo,False,True,False,False,False,False,False,False
ThetaIX/WEB_Laby,False,True,False,False,False,False,False,False
Thiago-sLira/project-trybe-hotel-phase-a,False,True,False,False,False,False,False,False
Thiago2807/OmeLi-API,False,True,False,False,False,False,False,False
Thiago309/Atv_4_Criar_o_restante_do_CRUD_de_projetos,False,True,False,False,False,False,False,False
ThreeBeatsMexico/THREEBITSCORE,False,True,False,False,False,False,False,False
Thucnnguyen/Scholarit,False,True,False,False,False,False,False,False
TiTle162/Identity-Server-System,False,True,False,False,False,False,False,False
Tiago-Alves-git/HotelBooking-C-,False,True,False,False,False,False,False,False
TienThinh-fe/readit-server,False,True,False,False,False,False,False,False
Titian3/DemoClaim,False,True,False,False,False,False,False,False
TitoSaavedra/TodoApi,False,True,False,False,False,False,False,False
TobiOlajumoke/Jenkins_CICD,False,True,False,False,False,False,False,False
TobiasEASV/Compulsory-Assignment---SDM,False,True,False,False,False,False,False,False
TolhNguyen/Ecommerce_Wedsite,False,True,False,False,False,False,False,False
TomasSobotaT/Portfolio_Manager,False,True,False,False,False,False,False,False
Tonton-DK/6-Software-Architecture,False,True,False,False,False,False,False,False
TopSwagCode/drawtest,False,True,False,False,False,False,False,False
Topaz557/The-Tech-Academy-Basic-C-Sharp-Projects.,False,True,False,False,False,False,False,False
Toyo-Daichi/hashicat-app,False,True,False,False,False,False,False,False
TrickSoLogic/BlackCoderGenerateQRCode,False,True,False,False,False,False,False,False
TrueTechLabs/fabric-trace,True,False,False,False,False,False,False,False
Truehand0fgod/932203.Morozov.webLabs,False,True,False,False,False,False,False,False
TrungTran2751999/QuanLyVatTuCungUngg,False,True,False,False,False,False,False,False
Tthomas63/source-coop-base-beta,False,True,False,False,False,False,False,False
Tturna/ASP-Data-Visualization,False,True,False,False,False,False,False,False
TulioSil11/API-locacao-de-imoveis,False,True,False,False,False,False,False,False
Tweemo/CSharp-MongoDb,False,True,False,False,False,False,False,False
Tyler-McIntyre/c-sharp,False,True,False,False,False,False,False,False
UBC-X-Lab/SurfShare,False,True,False,False,False,False,False,False
UBCHiveLab/SimBrainVR_MRTK,False,True,False,False,False,False,False,False
UNINETTSigma2/helm-charts,True,False,False,False,False,False,False,False
UPHRH-platform/sb-devops,True,False,False,False,False,False,False,False
USC-CSSL/CVAT-BWV,True,False,False,False,False,False,False,False
UWRealityLab/MRTK2-8-Template,False,True,False,False,False,False,False,False
Udaara/sinasco,True,False,False,False,False,False,False,False
Udayanga-Deeshan/Tasks-API,False,True,False,False,False,False,False,False
Udzuru/Secutity-System,False,True,False,False,False,False,False,False
Ulrich-T/tia-devops,False,True,False,False,False,False,False,False
UlrikJonasLove/AzureAD-MVC.NET,False,True,False,False,False,False,False,False
UltTransformer/demo,True,False,False,False,False,False,False,False
UniH0w/LR,False,True,False,False,False,False,False,False
UniSiegenWiNeMe/AR-Instructions-Unity,False,True,False,False,False,False,False,False
Unthink-pri18/Terraform-repo,True,False,False,False,False,False,False,False
UpToAltar/Shop-MVC--NET,False,True,False,False,False,False,False,False
Upravljanje-Razvojem-IS/tim_10_socialbuzz-tim_10_socialbuzz,False,True,False,False,False,False,False,False
Uyawag/Direct3DSurfaceAccessInHoloLens2Example,False,True,False,False,False,False,False,False
V-Torres2706/Senai-Sql-4,False,True,False,False,False,False,False,False
V-Torres2706/Senai-Sql3,False,True,False,False,False,False,False,False
V1ck3s/BodybuildingManager,False,True,False,False,False,False,False,False
VBAndCs/Vazor,False,True,False,False,False,False,False,False
VJftw/infrastructure,True,False,False,False,False,False,False,False
VZGLY/APIHangMan,False,True,False,False,False,False,False,False
Vaishuk15/Blob-upload-using-MVC,False,True,False,False,False,False,False,False
Vaishuk15/UrlShortener-using-sql,False,True,False,False,False,False,False,False
ValdirFerreira/API-DDD-2022-Parte-7,False,True,False,False,False,False,False,False
ValdirFerreira/MINIMAL-API-NET6-C-COM-BANCO-ORACLE-,False,True,False,False,False,False,False,False
Vangaorth/MRTKShaderRuntime,False,True,False,False,False,False,False,False
VariableExp0rt/openpolicyagent_resources,True,False,False,False,False,False,False,False
Vedant809/WebApi,False,True,False,False,False,False,False,False
Venn1991/hashicorp-certified-terraform-associate,False,True,False,False,False,False,False,False
Vennila-siva/DevopsDemo,False,True,False,False,False,False,False,False
Verbinen/linkedin-courses,False,True,False,False,False,False,False,False
Verney2073/ZooManagement,False,True,False,False,False,False,False,False
VeronicaDLTT/MediDateFase2,False,True,False,False,False,False,False,False
Verthie/LABS_DotNet,False,True,False,False,False,False,False,False
Vialesoft/Vialesoft_Devlab,False,True,False,False,False,False,False,False
VictorDamian/PracticaApiEntity,False,True,False,False,False,False,False,False
Vijitta-Alexander/Ado.net,False,True,False,False,False,False,False,False
ViniciusAmbrosi/sistemas-distribuidos-elasticidade,False,True,False,False,False,False,False,False
VitorAraujoAlcantara/youtube-samples,False,True,False,False,False,False,False,False
VrBnDev/Exo.WebApi,False,True,False,False,False,False,False,False
W-Pawlik/CPC-2022-Project,False,True,False,False,False,False,False,False
WatcherWhale/taime,True,False,False,False,False,False,False,False
