full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
confluentinc/policy-library-confluent-terraform,False,True,False,False,False,False,False,False,3
cong34dk/FPTShop-WebAPI,False,True,False,False,False,False,False,False,2
conquy2002/T2009A,False,True,False,False,False,False,False,False,1
conscious27/UMS,False,True,False,False,False,False,False,False,2
consorziointellimech/WARNING,False,True,False,False,False,False,False,False,1
corazonnn/HoloLens2-IMUSensor,False,True,False,False,False,False,False,False,1
cosmindev/Sentinel-Training,False,True,False,False,False,False,False,False,1
crackTheCliff/Coding_Dojo,False,True,False,False,False,False,False,False,1
crag-h4k/gud-vim,True,False,False,False,False,False,False,False,7
crayon/MachineLearning-BaseballPrediction-BlazorApp,False,True,False,False,False,False,False,False,1
crdant/governance-lab,True,False,False,False,False,False,False,False,1
crewlinker/clgo,True,False,False,False,False,False,False,False,2
crime-story/University-Materials,False,True,False,False,False,False,False,False,1
crisdan1991/grupo4,False,True,False,False,False,False,False,False,3
csi21-sdiapos/CSPharma-v4.0,False,True,False,False,False,False,False,False,1
csilvinovieira/MATERIAL-PARA-O-ALUNO-FAZER-ATIVIDADE,False,True,False,False,False,False,False,False,1
cteds/introducao_devops_primeiro_oferecimento,False,True,False,False,False,False,False,False,1
cteds/programacao_avancada_csharp_primeiro_oferecimento,False,True,False,False,False,False,False,False,1
ctm-repository/PBE10,False,True,False,False,False,False,False,False,4
ctyano/athenz-identityprovider-policy,True,False,False,False,False,False,False,False,1
cugurel/MseBackEnd,False,True,False,False,False,False,False,False,2
cvat-ai/cvat,True,False,False,False,False,False,False,False,274
cw-MohitBalani/c-_mvc_api,False,True,False,False,False,False,False,False,1
cw-rimal/migration-example,False,True,False,False,False,False,False,False,1
cwmasonRollTide/Dolos,False,True,False,False,False,False,False,False,2
cyrielle-clastres/My-Project,False,True,False,False,False,False,False,False,1
czkirilo/FS5_FSAP_BE8_API,False,True,False,False,False,False,False,False,1
czkirilo/Resolucao_de_Atividades,False,True,False,False,False,False,False,False,1
d1mak3/DockerInfrastructure,False,True,False,False,False,False,False,False,2
dEISOT/restaurant-microservices,False,True,False,False,False,False,False,False,2
dackel96/SoftuniExercise,False,True,False,False,False,False,False,False,1
dadrus/heimdall,True,False,False,False,False,False,False,False,19
daeneiljoshue/s,True,False,False,False,False,False,False,False,253
dahlke/terrasnek-unittest-config,False,True,False,False,False,False,False,False,2
dallen-28/HololensVideoStreaming,False,True,False,False,False,False,False,False,1
dalmasiof/microsservice_project,False,True,False,False,False,False,False,False,1
daltonhahn/anvResearch,True,False,False,False,False,False,False,False,1
damianamalraj/Minimal-API,False,True,False,False,False,False,False,False,1
damsaz/ProjectLexicon,False,True,False,False,False,False,False,False,1
danbev/trygg,True,False,False,False,False,False,False,False,1
danbur920/ToDoApp,False,True,False,False,False,False,False,False,1
dang252/myForms,False,True,False,False,False,False,False,False,1
daniel-kennedy/csharp-minimal-api,False,True,False,False,False,False,False,False,1
danielamaccali/ITAcademy15Dell,False,True,False,False,False,False,False,False,1
danieldmonteiro/senai-uc14,False,True,False,False,False,False,False,False,1
danielpops/travis,True,False,False,False,False,False,False,False,1
danielvieiralopes/DevFreela,False,True,False,False,False,False,False,False,1
daniicroom/all-pocs,False,True,False,False,False,False,False,False,2
danmarz/ASP.NET-Demo,False,True,False,False,False,False,False,False,1
danmarz/ASP.NET-Swagger-WeatherAPI,False,True,False,False,False,False,False,False,1
danmarz/ASP.NET-TodoAPI,False,True,False,False,False,False,False,False,1
dannyjknights/policy-library-paloalto,False,True,False,False,False,False,False,False,2
dany002/UBB-Computer-Science,False,True,False,False,False,False,False,False,3
dariusxdragoi/MvcWebApp,False,True,False,False,False,False,False,False,1
darrin-pelletier/opa,True,False,False,False,False,False,False,False,1
datarobot-oss/helm-charts,True,False,False,False,False,False,False,False,1
david-pr0/Exo_api,False,True,False,False,False,False,False,False,1
davidcravo/FORMATION-CDA-2210,False,True,False,False,False,False,False,False,3
davide-cas/HoloHelp,False,True,False,False,False,False,False,False,1
davidlorente78/Route,False,True,False,False,False,False,False,False,4
davidprice10/CqrsMediatRBookshop,False,True,False,False,False,False,False,False,1
davifsroberto/moviesAPI,False,True,False,False,False,False,False,False,1
dawright22/goverance,False,True,False,False,False,False,False,False,1
dawright22/vault-guides,False,True,False,False,False,False,False,False,1
