full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,OpagateKeeper,Kubewarden
aws-samples__amazon-verified-permissions-asp-dotnet-core-custom-auth-policy-provider,0,0,0,6,0,0,0,0,0
aws-samples__aws-cloud-custodian-sample-collection,0,0,0,0,0,169,0,0,0
aws-samples__aws-control-tower-cicd-cloud-custodian,0,0,0,0,0,3,0,0,0
aws-samples__aws-do-hyperpod,0,0,0,0,2,0,0,0,0
aws-samples__aws-infra-policy-as-code-with-terraform,0,186,0,0,0,0,0,0,0
aws-samples__aws-security-hub-findings-export,0,0,0,0,0,0,0,0,0
aws-samples__aws-securityhub-automated-remediations-workshop,0,0,0,0,0,3,0,0,0
aws-samples__awsome-distributed-training,0,0,0,0,2,0,0,0,0
aws-samples__cedar-policy-validation-pipeline,0,0,0,7,0,0,0,0,0
aws-samples__cfn101-workshop,0,0,0,0,0,0,2,0,0
aws-samples__container-patterns,0,0,6,0,0,0,7,0,0
aws-samples__eks-security-compromised-cluster-remediation,0,0,0,0,0,0,0,6,0
aws-samples__flux-eks-gitops-config,0,0,0,0,11,0,0,0,0
aws-samples__generative-ai-newsletter-app,0,0,0,7,0,0,0,0,0
aws-samples__hpc-applications,0,0,0,0,4,0,0,0,0
aws-samples__observability-with-amazon-opensearch,0,0,0,0,2,0,0,0,0
aws-samples__preventive-security-controls-in-pulumi-iac-pipeline,0,0,11,0,0,0,0,0,0
aws-samples__saas-authnz-demo-with-amazon-cognito,0,0,0,5,0,0,0,0,0
aws-samples__sample-emr-eks-hive-metastore-patterns,0,0,0,0,1,0,0,0,0
aws-samples__sample-packages-for-aws-tnb,0,0,0,0,2,0,0,0,0
aws-solutions-library-samples__guidance-for-automated-geospatial-insights-engine-on-aws,0,0,0,15,0,0,0,0,0
awslabs__avp-local-agent,0,0,0,2,0,0,0,0,0
awslabs__aws-config-rdk,0,0,0,0,1,0,1,0,0
awslabs__aws-iam-access-analyzer-policy-validation-config-rule,0,0,0,0,0,0,1,0,0
awslabs__aws-service-catalog-products,0,0,0,0,0,10,0,0,0
awslabs__cedar-access-control-for-k8s,0,0,0,0,0,0,0,0,0
awslabs__crossplane-on-eks,0,0,0,0,3,0,0,7,0
awslabs__idf-modules,0,0,0,0,38,0,0,0,0
awslabs__sustainability-scanner,0,0,0,0,0,0,10,0,0
aws__aws-app-mesh-examples,0,0,0,0,1,0,0,0,0
aws__aws-cdk,0,0,0,0,0,0,0,0,0
aws__aws-eks-best-practices,0,0,0,0,5,0,0,23,0
aws__aws-parallelcluster,0,0,0,0,3,0,0,0,0
aws__aws-sdk-go,0,0,0,0,0,0,13,0,0
aws__aws-sdk-net,0,0,0,0,0,0,19,0,0
aws__aws-sdk-php,0,0,0,0,0,0,13,0,0
aws__aws-sdk-ruby,0,0,0,0,0,0,13,0,0
AzeemGhumman__iqbal-demystified-dataset,0,0,0,0,0,9,0,0,0
Azure-Samples__aks-labs,0,0,0,0,0,0,0,1,0
Azure-Samples__azure-digital-twins-getting-started,2,0,0,0,0,0,0,0,0
azure-terraform-workshop__terraform-workshop-labs,2,0,0,0,0,0,0,0,0
Azure__aks-app-routing-operator,0,0,0,0,0,0,0,45,0
Azure__aks-ctf,0,0,0,0,0,0,0,1,0
