full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,GateKeeper,Kubewarden
Bearer/bearer,0,6,0,0,0,0,0,0,0
beiciliang/aws-bootcamp-cruddur-2023,0,0,0,0,0,0,2,0,0
besley/Slickflow,2,0,0,0,0,0,0,0,0
bmuschko/cks-crash-course,0,0,0,0,0,0,0,1,0
boostsecurityio/poutine,0,27,0,0,0,0,0,0,0
borgeby/jarl,0,12,0,0,0,0,0,0,0
btkrausen/hashicorp,2,2,0,0,0,0,0,0,0
build-on-aws/bookstore-demo-app-with-authz,0,0,0,1,0,0,0,0,0
canonical/snapd,0,0,0,0,0,6,0,0,0
carbonetes/brainiac,0,2916,0,0,0,0,0,0,0
cdklabs/cdk-validator-cfnguard,0,0,0,0,0,0,238,0,0
cedar-policy/cedar,0,0,0,66,0,0,0,0,0
cedar-policy/cedar-examples,0,4,0,25,0,0,0,0,0
cedar-policy/cedar-java,0,0,0,6,0,0,0,0,0
cedar-policy/cedar-local-agent,0,0,0,12,0,0,0,0,0
cedar-policy/cedar-spec,0,0,0,1,0,0,0,0,0
cedar-policy/rfcs,0,0,0,2,0,0,0,0,0
celest-dev/celest,0,0,0,5,0,0,0,0,0
chainloop-dev/chainloop,0,18,0,0,0,0,0,0,0
chaitin/veinmind-tools,0,55,0,0,0,0,0,0,0
charmed-kubernetes/jenkins,0,0,0,0,0,0,0,1,0
Checkmarx/kics,0,1754,0,0,0,0,5,0,0
chef/automate,0,6,0,0,0,0,0,0,0
CHERIoT-Platform/network-stack,0,1,0,0,0,0,0,0,0
choria-io/aaasvc,0,6,0,0,0,0,0,0,0
choria-io/go-choria,0,15,0,0,0,0,0,0,0
christophwille/dotnet-opa-wasm,0,7,0,0,0,0,0,0,0
CircleCI-Public/circleci-cli,0,6,0,0,0,0,0,0,0
cisagov/ScubaGear,0,64,0,0,0,0,0,0,0
cisagov/ScubaGoggles,0,80,0,0,0,0,0,0,0
CiscoDevNet/sdwan-devops,0,1,0,0,0,0,0,0,0
cloud-custodian/cloud-custodian,0,0,0,0,0,93,5,0,0
Cloudflare-Mining/Cloudflare-Datamining,0,0,0,0,0,0,0,0,0
cloudposse/atmos,0,8,0,0,0,0,0,0,0
cloudposse/terraform-provider-utils,0,5,0,0,0,0,0,0,0
cloudposse/terraform-spacelift-cloud-infrastructure-automation,0,18,0,0,0,0,0,0,0
cloudwu/stellaris_cn,0,0,0,0,0,29,0,0,0
cncf/devstats,0,0,0,0,0,2,0,0,0
cncf/landscape2-sites,0,0,0,0,0,0,0,0,0
commercialhaskell/all-cabal-metadata,0,0,0,0,0,2,0,0,0
ComradDoge/DogeEU4,0,0,0,0,0,14,0,0,0
concourse/concourse,0,1,0,0,0,0,0,0,0
confidential-containers/cloud-api-adaptor,0,0,0,0,0,0,0,0,0
confidential-containers/trustee,0,19,0,0,0,0,0,0,0
ContainerSSH/examples,0,2,0,0,0,0,0,0,0
controlplaneio/simulator,0,0,0,0,10,0,0,0,0
couchbase/perfrunner,0,0,0,0,2,0,0,0,0
courselabs/kubernetes,0,0,0,0,0,0,0,3,0
crossplane-contrib/provider-aws,0,0,0,0,3,0,0,0,0
crossplane-contrib/provider-upjet-aws,0,0,0,0,9,0,0,0,0
